listing_id,room_type,accomodates,min_date,max_date,timedelta (days),timedelta > 3 months,timedelta = 0,št. reviewev v zadnjih 12 mesecih,"število mesecev, v katerem so prejeli review",latitude,longitude,reviews,overall_satisfaction,price
20243910,Private room,2,,,0,FALSE,TRUE,0,0,46.076999,14.481794,5,4.5,61
20258630,Entire home/apt,2,2017-08-12,2018-08-12,365,TRUE,FALSE,3,3,46.107963,14.5319,4,5,84
20304084,Entire home/apt,3,2017-12-17,2018-12-10,358,TRUE,FALSE,100,12,46.047108,14.494026,88,5,67
20321867,Private room,2,2017-08-28,2018-11-19,448,TRUE,FALSE,79,11,46.077423,14.553562,56,5,36
20348486,Entire home/apt,2,2018-02-12,2018-12-08,299,TRUE,FALSE,8,6,46.037212,14.470507,2,\N,55
20350699,Private room,4,,,0,FALSE,TRUE,0,0,46.05591,14.503412,0,\N,78
20367608,Entire home/apt,4,,,0,FALSE,TRUE,0,0,46.056984,14.522611,8,4.5,60
20368207,Private room,4,2017-08-19,2017-08-19,0,FALSE,TRUE,0,0,46.043034,14.491894,1,\N,121
20400499,Entire home/apt,6,2017-08-12,2017-09-09,28,FALSE,FALSE,0,0,46.072781,14.490313,6,5,97
20404992,Private room,2,,,0,FALSE,TRUE,0,0,46.044005,14.503216,13,4.5,19
20431245,Entire home/apt,2,2017-08-22,2018-09-29,403,TRUE,FALSE,18,8,46.048266,14.453856,22,4.5,32
20454462,Entire home/apt,4,,,0,FALSE,TRUE,0,0,46.036928,14.470022,0,\N,61
20468265,Private room,2,,,0,FALSE,TRUE,0,0,46.054571,14.597685,8,4.5,30
20487258,Entire home/apt,8,2017-08-26,2018-11-04,435,TRUE,FALSE,6,5,46.077482,14.480745,6,5,71
20509767,Private room,2,2017-08-19,2018-10-01,408,TRUE,FALSE,19,4,46.044647,14.503681,3,5,19
20552322,Private room,2,2017-08-27,2017-09-18,22,FALSE,FALSE,0,0,46.05736,14.535244,5,5,30
20554214,Entire home/apt,5,2018-06-30,2018-08-26,57,FALSE,FALSE,15,3,46.060495,14.529598,2,\N,119
20561002,Entire home/apt,6,,,0,FALSE,TRUE,0,0,46.062695,14.495117,7,4.5,109
20565238,Private room,2,2017-08-23,2018-08-19,361,TRUE,FALSE,8,4,46.04527,14.478369,8,5,34
20626242,Entire home/apt,8,2017-10-08,2018-11-26,414,TRUE,FALSE,11,7,46.041904,14.510345,6,4.5,187
20647748,Private room,2,,,0,FALSE,TRUE,0,0,46.056889,14.515185,19,5,36
20683974,Entire home/apt,3,,,0,FALSE,TRUE,0,0,46.024666,14.54256,1,\N,19
20688125,Private room,2,2017-09-28,2018-12-11,439,TRUE,FALSE,25,11,46.075954,14.558886,16,4.5,29
20726610,Entire home/apt,8,2017-09-09,2018-11-25,442,TRUE,FALSE,41,12,46.038645,14.507633,30,5,96
20739048,Entire home/apt,2,2017-09-10,2018-10-19,404,TRUE,FALSE,14,10,46.056038,14.519898,20,4.5,84
20770456,Entire home/apt,2,2018-05-31,2018-11-02,155,TRUE,FALSE,5,4,46.049198,14.506151,3,4.5,169
20770601,Entire home/apt,2,,,0,FALSE,TRUE,0,0,46.048248,14.505277,0,\N,169
20770711,Private room,2,,,0,FALSE,TRUE,0,0,46.04923,14.505459,0,\N,181
20779904,Entire home/apt,2,2017-09-05,2018-01-02,119,TRUE,FALSE,3,2,46.08475,14.476478,10,4.5,36
20784921,Entire home/apt,4,2017-10-22,2018-12-10,414,TRUE,FALSE,40,12,46.062199,14.499277,24,5,65
20792089,Private room,2,2018-01-01,2018-09-08,250,TRUE,FALSE,14,5,46.044153,14.452434,2,\N,48
20793348,Private room,3,2017-10-04,2018-10-28,389,TRUE,FALSE,44,11,46.046045,14.49703,39,4.5,44
20823559,Entire home/apt,2,2017-11-12,2018-12-05,388,TRUE,FALSE,96,12,46.040577,14.512342,59,4.5,42
20825719,Entire home/apt,4,,,0,FALSE,TRUE,0,0,46.062031,14.520332,16,5,70
20893338,Entire home/apt,3,2017-10-29,2018-12-11,408,TRUE,FALSE,77,12,46.047421,14.492818,51,5,82
20958689,Entire home/apt,2,2017-09-21,2018-11-26,431,TRUE,FALSE,64,12,46.068418,14.495929,36,5,39
20965147,Entire home/apt,2,2017-09-25,2018-08-24,333,TRUE,FALSE,56,9,46.06441,14.514456,58,5,34
20985219,Entire home/apt,3,2018-04-08,2018-12-11,247,TRUE,FALSE,38,9,46.061973,14.506664,15,5,84
21006492,Entire home/apt,4,2017-11-02,2018-09-22,324,TRUE,FALSE,7,3,46.078205,14.486416,3,5,109
21006847,Entire home/apt,5,2018-09-13,2018-09-13,0,FALSE,TRUE,1,1,46.054819,14.506454,0,\N,121
21008617,Entire home/apt,3,,,0,FALSE,TRUE,0,0,46.055468,14.506046,0,\N,97
21010350,Entire home/apt,2,2017-10-06,2018-12-10,430,TRUE,FALSE,27,11,46.047428,14.493163,14,5,60
21010683,Entire home/apt,4,2017-09-22,2018-11-18,422,TRUE,FALSE,35,11,46.048071,14.493194,26,5,71
21053611,Private room,3,2017-09-30,2018-12-02,428,TRUE,FALSE,47,11,46.043933,14.496768,42,4.5,42
21083826,Entire home/apt,6,,,0,FALSE,TRUE,0,0,46.042735,14.476909,3,4.5,133
21087349,Entire home/apt,3,2017-09-26,2018-11-10,410,TRUE,FALSE,24,10,46.048998,14.527608,22,5,55
21087370,Entire home/apt,4,2018-05-01,2018-10-13,165,TRUE,FALSE,14,5,46.038735,14.472101,3,4.5,61
21089050,Entire home/apt,4,2017-10-29,2018-12-09,406,TRUE,FALSE,34,11,46.039297,14.508559,13,5,181
21089732,Entire home/apt,5,2017-09-26,2018-09-04,343,TRUE,FALSE,18,8,46.067757,14.515245,15,5,70
21168248,Entire home/apt,3,2017-10-16,2018-11-25,405,TRUE,FALSE,72,12,46.048829,14.506991,47,5,47
21183879,Private room,3,2018-01-02,2018-05-21,139,TRUE,FALSE,4,4,46.067617,14.514346,4,5,42
